Index;Flipped
532;Y
138;N
640;N
89;N
353;N
661;N
598;N
748;N
99;Y
653;Y
698;N
9;N
303;N
745;Y
298;Y
701;Y
111;N
613;N
198;N
426;N
665;N
110;N
229;N
562;N
207;N
728;N
599;N
381;N
538;Y
7;Y
634;N
405;Y
625;N
346;N
593;Y
224;N
703;N
509;N
240;N
711;N
225;Y
396;Y
696;N
337;N
453;N
70;N
710;Y
573;N
71;N
323;Y
447;N
39;N
85;N
391;N
670;N
566;N
746;N
107;N
379;N
208;N
147;Y
68;N
49;N
697;N
113;N
394;N
617;N
644;N
433;Y
739;Y
210;N
702;N
184;Y
484;Y
607;Y
186;N
603;N
62;Y
539;N
569;Y
50;Y
150;N
259;Y
376;Y
108;N
103;N
535;N
652;N
731;N
512;N
194;N
181;Y
300;Y
465;Y
189;N
87;N
362;N
160;Y
584;N
202;N
127;N
602;N
761;N
306;N
626;N
231;N
414;N
284;Y
643;N
721;N
525;N
237;N
162;N
212;N
21;Y
299;N
312;N
596;Y
197;N
121;N
601;Y
177;N
324;Y
66;N
15;N
252;N
570;N
383;N
171;N
744;N
331;N
314;N
142;N
524;Y
163;N
722;Y
22;Y
649;Y
308;N
446;Y
720;N
454;Y
368;Y
416;N
25;Y
459;N
51;Y
637;N
45;N
765;Y
136;Y
592;N
527;N
91;N
415;N
245;N
580;N
317;N
441;Y
502;Y
559;N
327;N
168;Y
215;N
134;N
606;N
448;Y
54;N
688;N
321;N
443;N
230;N
439;N
221;N
125;N
442;Y
371;Y
563;Y
526;Y
403;N
727;N
161;N
146;N
209;N
166;N
709;N
424;N
116;N
551;N
279;N
463;N
351;Y
481;N
48;Y
406;N
129;N
131;Y
388;N
2;Y
531;N
752;N
723;N
44;N
180;N
486;N
233;N
264;N
218;N
725;Y
46;N
3;N
692;Y
77;N
763;N
560;N
27;Y
504;N
36;N
530;N
153;N
636;N
600;Y
449;Y
707;N
490;Y
53;N
122;N
751;N
756;N
536;N
86;N
695;Y
556;N
734;Y
228;N
63;N
274;N
319;Y
605;N
339;N
434;Y
155;Y
522;N
706;Y
30;N
489;Y
595;N
571;Y
650;Y
255;Y
460;N
629;N
64;Y
471;Y
616;N
359;N
130;Y
729;Y
717;N
159;Y
648;Y
428;N
581;N
83;N
523;N
354;N
578;N
170;N
318;Y
365;N
713;N
741;N
672;N
377;N
476;N
407;N
676;N
348;N
342;Y
307;Y
364;Y
211;N
572;N
291;N
565;N
320;N
632;N
417;N
176;Y
654;Y
5;N
283;Y
705;N
57;N
382;Y
282;N
500;N
75;Y
651;Y
677;N
145;N
92;Y
506;N
236;N
254;N
693;N
276;Y
521;N
261;N
418;N
201;N
216;N
420;N
714;Y
647;N
374;N
275;N
621;N
139;Y
58;N
400;N
480;N
154;N
398;N
639;N
689;N
545;N
541;Y
258;N
659;N
767;N
266;Y
715;Y
645;Y
378;N
427;N
668;Y
479;Y
742;N
226;Y
542;N
334;N
477;N
671;N
286;N
627;N
410;N
262;N
132;N
326;N
646;Y
104;N
660;N
638;N
575;N
115;N
96;N
90;N
494;N
547;N
101;N
187;Y
137;N
214;N
755;N
402;N
667;N
373;N
451;N
708;Y
730;N
557;N
172;N
20;N
366;N
462;Y
544;N
641;N
440;N
579;N
157;N
455;N
183;N
520;Y
179;N
508;Y
624;N
372;N
499;N
768;N
67;Y
762;N
412;N
429;N
517;Y
496;Y
662;N
14;N
612;Y
743;Y
265;N
747;N
358;N
488;N
716;N
413;N
152;N
357;N
567;N
8;N
191;N
422;N
510;Y
305;N
12;N
568;N
325;N
333;N
432;Y
608;Y
586;N
151;N
219;N
119;Y
360;N
238;N
622;N
588;N
423;Y
289;N
13;N
345;N
174;N
482;N
529;N
712;N
666;Y
700;N
619;N
18;N
257;N
313;Y
495;N
574;Y
94;N
294;N
24;N
175;N
19;Y
655;N
474;N
340;N
124;N
408;N
248;N
55;N
483;N
576;N
457;N
253;Y
29;N
582;Y
84;N
658;N
295;N
61;N
445;Y
384;N
293;N
280;N
630;N
444;N
533;N
507;N
759;N
118;Y
503;Y
540;N
469;N
456;Y
73;Y
213;Y
537;N
114;N
164;N
514;N
461;Y
552;N
79;N
685;N
28;N
37;N
691;Y
287;Y
256;Y
363;N
684;Y
669;Y
370;N
430;N
585;N
452;Y
657;Y
369;N
290;Y
679;N
239;N
590;N
516;N
577;N
404;Y
635;N
656;N
511;Y
65;N
518;N
683;Y
589;N
241;N
493;N
515;N
554;N
173;Y
347;N
6;Y
604;Y
587;N
749;Y
387;N
80;Y
141;N
35;N
78;N
435;Y
548;N
760;N
234;N
34;N
277;Y
271;N
59;N
478;Y
350;N
740;N
165;Y
409;N
269;N
263;N
724;Y
112;N
498;N
120;N
758;N
543;N
223;N
82;N
664;N
736;Y
272;N
674;N
633;N
74;Y
143;Y
642;N
473;Y
156;Y
246;N
436;N
167;N
126;N
397;N
196;N
69;N
296;N
10;N
399;Y
