Index;Flipped
98;N
143;Y
5;Y
218;N
250;N
264;N
230;N
96;N
95;N
94;N
190;N
191;N
39;N
139;N
56;N
100;Y
211;Y
205;Y
85;N
116;Y
45;Y
9;N
157;N
127;N
1;N
249;N
91;N
195;N
64;N
53;N
65;N
17;Y
34;N
208;N
200;N
255;Y
144;N
18;Y
184;N
259;N
109;N
3;N
172;N
175;N
10;Y
233;N
59;N
15;N
201;N
8;N
260;N
7;N
160;Y
84;N
140;N
174;N
131;N
135;Y
176;N
180;N
173;N
234;Y
70;N
150;N
68;N
133;N
80;N
107;N
252;N
41;Y
154;N
199;N
79;Y
99;N
124;N
159;N
166;N
212;N
206;N
236;N
75;Y
165;Y
87;N
29;N
6;N
111;N
216;N
121;Y
261;N
112;N
145;N
221;N
170;N
179;Y
128;Y
118;Y
155;N
49;N
241;N
262;N
248;N
213;N
138;N
141;N
149;N
71;N
228;Y
214;Y
267;N
108;N
24;N
256;Y
226;N
48;N
161;N
186;N
244;N
21;N
153;N
137;Y
60;Y
12;Y
185;N
163;N
215;N
97;N
162;N
183;N
232;N
89;N
254;N
16;N
197;Y
120;N
35;N
76;N
209;N
36;N
73;N
251;Y
146;N
204;N
93;N
269;Y
164;N
168;N
225;N
219;N
62;N
266;N
58;N
83;N
13;N
38;N
110;Y
57;N
263;N
40;Y
152;N
101;N
32;N
268;N
223;N
113;Y
78;N
119;N
198;N
265;N
30;N
126;N
72;Y
66;N
188;N
187;N
122;N
105;Y
102;N
28;Y
238;N
81;N
55;N
114;N
115;N
147;N
239;N
47;N
23;N
189;Y
51;Y
37;Y
181;Y
106;N
270;Y
2;Y
210;N
42;N
22;Y
33;Y
61;N
156;N
4;N
86;N
134;N
